code,name,latitude,longitude,altitude
PN001002,cabeza mediana,40.843575,-3.90812222222222,1682
PN001003,zabala,40.8371833,-3.958325,2057
PN001004,cotos,40.8252333,-3.96105555555556,1873
PN001005,alameda,40.9147222,-3.84416666666667,1101
PN001006,las hoyas,40.8323444,-3.9562,2019
PN001007,dos hermanas,40.8371861,-3.96435555555556,2225
PN001101,el paular,40.8852778,-3.88694444444444,1154
PN001102,boca del asno,40.845475,-4.02564166666667,2020
PN001103,pedriza,40.7261639,-3.88524722222222,942
PN001104,las dehesas,40.7672222,-4.06916666666667,1356
PN001201,pico peñalara,40.8501556,-3.95477222222222,2428
PN001202,aforos,40.8388889,-3.95083333333333,1937
